Row (ID),activity,costs,geometry,molde_area,case,molde,complexity,material_type,cavities,subcontracting,org:resource,start_timestamp,time:timestamp
30,examine casually,400,Mike,Mike,5,5,Mike,Mike,35,examine casually,Mike,2011-01-16 15:50:00+01:00,2011-01-16 15:50:00+01:00
31,decide,200,Sara,Sara,5,5,Sara,Sara,5,decide,Sara,2011-01-19 11:18:00+01:00,2011-01-19 11:18:00+01:00
32,reinitiate request,200,Sara,Sara,5,5,Sara,Sara,6,reinitiate request,Sara,2011-01-20 12:48:00+01:00,2011-01-20 12:48:00+01:00
33,examine casually,400,Sue,Sue,5,5,Sue,Sue,657,examine casually,Sue,2011-01-21 09:06:00+01:00,2011-01-21 09:06:00+01:00
34,check ticket,100,Pete,Pete,5,5,Pete,Pete,8,check ticket,Pete,2011-01-21 11:34:00+01:00,2011-01-21 11:34:00+01:00
35,decide,200,Sara,Sara,5,5,Sara,Sara,79,decide,Sara,2011-01-23 13:12:00+01:00,2011-01-23 13:12:00+01:00
36,reject request,200,Mike,Mike,5,5,Mike,Mike,9,reject request,Mike,2011-01-24 14:56:00+01:00,2011-01-24 14:56:00+01:00
37,register request,50,Pete,Pete,4,4,Pete,Pete,99,register request,Pete,2011-01-06 15:02:00+01:00,2011-01-06 15:02:00+01:00
38,check ticket,100,Mike,Mike,4,4,Mike,Mike,10,check ticket,Mike,2011-01-07 12:06:00+01:00,2011-01-07 12:06:00+01:00
39,examine thoroughly,400,Sean,Sean,4,4,Sean,Sean,9,examine thoroughly,Sean,2011-01-08 14:43:00+01:00,2011-01-08 14:43:00+01:00
40,decide,200,Sara,Sara,4,4,Sara,Sara,901,decide,Sara,2011-01-09 12:02:00+01:00,2011-01-09 12:02:00+01:00
41,reject request,200,Ellen,Ellen,4,4,Ellen,Ellen,10,reject request,Ellen,2011-01-12 15:44:00+01:00,2011-01-12 15:44:00+01:00
